id_infraction,nom_infraction,type_infraction,classe,montant_24h,montant_15j,montant_30j,points_retires,sanction_possible,source,document,article_ou_page,date_source,langue,source_url,confiance,notes
INF_001,Non-respect d'un STOP ou d'un feu rouge,Contravention,1ère classe,400,500,700,4,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°19,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_002,Dépassement de la vitesse de plus de 30 à moins de 50 km/h,Contravention,1ère classe,400,500,700,4,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°20,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe; excès de vitesse important.
INF_003,Circulation en sens interdit,Contravention,1ère classe,400,500,700,4,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°21,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_004,Non-respect du droit de priorité,Contravention,2ème classe,300,400,500,2,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°22,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_005,Dépassement non réglementaire,Contravention,1ère classe,400,500,700,4,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°23,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_006,Circulation de nuit hors agglomération sans éclairage,Contravention,2ème classe,300,400,500,3,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°24,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_007,Conduite sans certificat de contrôle technique,Contravention,2ème classe,300,400,500,3,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°25,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_008,Circulation ou arrêt non justifié sur bande d'arrêt d'urgence d'autoroute,Contravention,2ème classe,300,400,500,3,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°26,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_009,Conduite d'un deux-roues motorisé sans casque homologué,Contravention,2ème classe,300,400,500,2,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°29,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_010,Non-respect de l'obligation d'utiliser la ceinture de sécurité,Contravention,3ème classe,150,200,300,1,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°30,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_011,Transport d'un enfant de moins de 10 ans sur le siège avant,Contravention,3ème classe,150,200,300,1,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°31,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe.
INF_012,Utilisation du téléphone tenu en main en conduisant,Contravention,3ème classe,150,200,300,1,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Contravention n°32,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Points issus du tableau NARSA; montants indicatifs de la classe; téléphone au volant; portable tenu en main.
INF_013,Conduite sous influence de l'alcool ou de substances stupéfiantes,Délit,Judiciaire,,,,6,Procédure judiciaire possible + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Délit n°07,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Le montant n'est pas calculé par l'ATF simple dans cette base.
INF_014,Dépassement de la vitesse de 50 km/h ou plus,Délit,Judiciaire,,,,6,Procédure judiciaire possible + retrait de points,Khadamat NARSA,Tableaux des infractions et délits,Délit n°15,2022-03,fr,https://khadamatnarsa.ma/sites/default/files/2022-03/tableaux%20des%20infractions%20et%20d%C3%A9lits_VF%20%284%29.pdf,A,Le montant n'est pas calculé par l'ATF simple dans cette base; grand excès de vitesse; dépassement de 50 km/h ou plus.
INF_015,Franchissement de la ligne continue,Contravention,1ère classe,400,500,700,4,Amende transactionnelle et forfaitaire + retrait de points,Khadamat NARSA,Paiement des infractions routières,Franchissement de la ligne continue K9,2026-07-08,fr,https://khadamatnarsa.ma/fr/services/infractions-routieres/paiement,A,Montants et retrait de points issus de la page officielle NARSA; couvre aussi les questions de dépassement ou franchissement sur ligne continue.
